,Country Name,Country,Euro,National Government Trust,EU Trust
0,Belgium,BE,1,40,55
1,Greece,EL,1,22,37
2,Lithuania,LT,1,36,69
3,Portugal,PT,1,45,68
4,Bulgaria,BG,0,19,49
5,Spain,ES,1,23,50
6,Luxembourg,LU,1,70,60
7,Romania,RO,0,27,54
8,Czechia,CZ,0,30,43
9,France,FR,1,23,34
10,Hungary,HU,0,48,56
11,Slovenia,SI,1,37,44
12,Denmark,DK,0,52,65
13,Croatia,HR,0,20,42
14,Malta,MT,1,63,71
15,Slovakia,SK,1,18,44
16,Germany,DE,1,49,49
17,Italy,IT,1,33,46
18,Netherlands,NL,1,38,52
19,Finland,FI,1,68,60
20,Estonia,EE,0,39,48
21,Cyprus,CY,1,33,42
22,Austria,AT,1,39,44
23,Sweden,SE,0,53,61
24,Ireland,IE,1,46,58
25,Latvia,LV,1,30,56
26,Poland,PL,0,26,64
